"heading","guestCapacity","startingPrice","address","phoneNumber","emailAddresses","websiteLink","knotPageLink","category","location"
"The Oaks At Mount Carmel","Up to 150","N/A","4278 County Road 43, Coffee Springs, AL","+1(334) 232-7400","[""info@theoaksatmountcarmel.com""]","https://theoaksatmountcarmel.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/the-oaks-at-mount-carmel-coffee-springs-al-2008247","wedding-reception-venues","Jefferson, AL"
"Trilogy Hotel Montgomery","Up to 100","N/A","116 Coosa Street, Montgomery, AL","+1(334) 440-3550","[""sales@trilogymontgomery.com""]","https://trilogyhotelmontgomery.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/trilogy-hotel-montgomery-montgomery-al-2072772","wedding-reception-venues","Jefferson, AL"
"The Eclectic Warehouse","300+","Starting Cost: $$ – Affordable","45 Main Street, Eclectic, AL","+1(303) 944-0700","[""shari.hindman@integralmarketing.biz""]","http://www.theeclecticwarehouse.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/the-eclectic-warehouse-eclectic-al-1025327","wedding-reception-venues","Jefferson, AL"
"The Whippoorwill Venue","N/A","N/A","Central Alabama","+1(334) 850-2406","[""audrey@thewhippoorwillvenue.com""]","http://www.thewhippoorwillvenue.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/the-whippoorwill-venue-mathews-al-2072225","wedding-reception-venues","Jefferson, AL"
"The Grand on Foster","300+","Starting Cost: $$$ – Moderate","170 N. Foster St., Dothan, AL","+1(334) 944-2159","[""caroline@thegrandonfoster.com""]","http://www.thegrandonfoster.com","https://www.theknot.com/marketplace/the-grand-on-foster-dothan-al-569663","wedding-reception-venues","Jefferson, AL"
"Southern Sportsman Hunting Lodge","Up to 200","N/A","Tyler, Tyler, AL","+113344123488","[""kthacker.sssinc@gmail.com""]","https://southernhunting.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/southern-sportsman-hunting-lodge-tyler-al-2082840","wedding-reception-venues","Jefferson, AL"
"The Ponds @ Andalusia","Up to 100","N/A","Alabama","+119704970021","[""karen@thepondsandalusia.com""]","https://pondsandalusia.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/the-ponds-andalusia-andalusia-al-2077030","wedding-reception-venues","Jefferson, AL"
"The Alley Station","300+","Starting Cost: $$ – Affordable","130 COMMERCE ST., Montgomery, AL","+1334-277-1077","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-alley-station-montgomery-al-2072149","wedding-reception-venues","Jefferson, AL"
"The Mitchell House","Up to 250","Starting Cost: $$$ – Moderate","Lake Martin Area, Montogmery, Birminhgam","+1(404) 392-7827","[""themitchellhouseevents@gmail.com""]","http://www.mitchellhouseevents.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/the-mitchell-house-dadeville-al-2070056","wedding-reception-venues","Jefferson, AL"
"Azalea Cove Waterside","Up to 100","N/A","35 Pebble Creek Drive, Alexander City, AL","+1(205) 601-6668,1","[""stevecox2331@gmail.com""]","http://www.azaleacovewaterside.com/","https://www.theknot.com/marketplace/azalea-cove-waterside-alexander-city-al-2075199","wedding-reception-venues","Jefferson, AL"
"Tahoma Plantation","Up to 150","Starting Cost: $$ – Affordable","SW Georgia, N Florida, SE Alabama","+1(229) 221-1006","[""contact@tahomaplantationga.com""]","http://www.tahomaplantationga.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/tahoma-plantation-blakely-ga-2080176","wedding-reception-venues","Jefferson, AL"
"Hawkins Ridge Venue and Wedding Facility","Up to 300","Starting Cost: $$ – Affordable","915 County Road 79 South, Eufaula, AL","+1(334) 714-5371","[""info@hawkins-ridge.com""]","https://www.hawkinsridgevenue.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/hawkins-ridge-venue-and-wedding-facility-eufaula-al-2079111","wedding-reception-venues","Jefferson, AL"
"Bella of Notasulga","Up to 150","N/A","7236 County Road 53, Notasulga, AL","+1+18665306511","[""N/A""]","N/A","https://www.theknot.com/marketplace/bella-of-notasulga-notasulga-al-2080397","wedding-reception-venues","Jefferson, AL"
"The Gilded Oaks","Up to 300","N/A","Elba, Elba, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-gilded-oaks-elba-al-2047419","wedding-reception-venues","Jefferson, AL"
"Rolling Oaks Farm","300+","N/A","3924 Co Rd 83, Newville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/rolling-oaks-farm-newville-al-996805","wedding-reception-venues","Jefferson, AL"
"Marsgate","300+","N/A","2667 Claud Fleahop Rd, Eclectic, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/marsgate-eclectic-al-2049666","wedding-reception-venues","Jefferson, AL"
"The Emporium","Up to 250","N/A","112 W Walnut St, Troy, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-emporium-troy-al-1044649","wedding-reception-venues","Jefferson, AL"
"Crooked Oaks Farm","Up to 250","N/A","768 Red Creek Road, Notasulga, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/crooked-oaks-farm-notasulga-al-2043646","wedding-reception-venues","Jefferson, AL"
"The Elms of Coosada","Up to 200","N/A","360 Lindsey Rd, Coosada, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-elms-of-coosada-coosada-al-344477","wedding-reception-venues","Jefferson, AL"
"The Barn on Milam","300+","N/A","3528 Milam Road, Wetumpka, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-barn-on-milam-wetumpka-al-2049297","wedding-reception-venues","Jefferson, AL"
"Spicer Farm","Up to 200","N/A","15380 County Rd 70, Andalusia, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/spicer-farm-andalusia-al-1060330","wedding-reception-venues","Jefferson, AL"
"Martingayle Plantation","300+","N/A","Montgomery, Auburn, Birmingham","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/martingayle-plantation-shorter-al-2066635","wedding-reception-venues","Jefferson, AL"
"Dream Field Farms","Up to 300","N/A","6376 US-82, Fitzpatrick, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/dream-field-farms-fitzpatrick-al-970536","wedding-reception-venues","Jefferson, AL"
"Rocky Mount Weddings & Events","300+","N/A","2364 Rocky Mount Rd, Prattville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/rocky-mount-weddings-and-events-prattville-al-562793","wedding-reception-venues","Jefferson, AL"
"Barns and Bins Weddings and Events","Up to 200","N/A","3335 Campground Church Rd., Luverne, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/barns-and-bins-weddings-and-events-luverne-al-2044813","wedding-reception-venues","Jefferson, AL"
"Renaissance Montgomery Hotel & Spa at the Convention Ce","300+","N/A","201 Tallapoosa Street, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/renaissance-montgomery-hotel-and-spa-at-the-convention-ce-montgomery-al-880128","wedding-reception-venues","Jefferson, AL"
"The Barn at Twin Valley","300+","N/A","139 County Road 41, Prattville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-barn-at-twin-valley-prattville-al-960510","wedding-reception-venues","Jefferson, AL"
