"heading","guestCapacity","startingPrice","address","city","state","phoneNumber","emailAddresses","websiteLink","facebookLink","instagramLink","pinterestLink","knotPageLink","category","location"
"Evanelle Vineyards - Wedding & Event Venue","300+","n/a","N/A","N/A","N/A","+1(559) 365-6869","evan@evanellevineyards.com","http://www.evanellevineyards.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/evanellevineyards/","http://www.instagram.com/Evanellevineyards","http://www.pinterest.com/evanellevineyards","https://www.theknot.com/marketplace/evanelle-vineyards-wedding-and-event-venue-madera-ca-2041693","wedding-reception-venues","Fresno, CA"
"Springville Ranch","300+","n/a","N/A","N/A","N/A","+1(747) 257-1838","springvilleranchwk@gmail.com","http://www.springvilleranch.net?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/#!/pages/springville-ranch-the-big-white-barn/183337811692099","http://www.instagram.com/thespringvilleranch","http://www.pinterest.com/Springville Ranch","https://www.theknot.com/marketplace/springville-ranch-springville-ca-719774","wedding-reception-venues","Fresno, CA"
"The  Sunset Acres","300+","n/a","N/A","N/A","N/A","+1+1(559)-316-0778","N/A","N/A","N/A","http://www.instagram.com/thesunsetacrescentralvalley","N/A","https://www.theknot.com/marketplace/the-sunset-acres-fowler-ca-2077744","wedding-reception-venues","Fresno, CA"
"Hidden Hollow","Up to 250","n/a","N/A","N/A","N/A","+1(559) 286-6393","info@hiddenhollowevents.com","http://www.hiddenhollowevents.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/Hidden-Hollow-241042646028243/?ref=bookmarks","http://www.instagram.com/hiddenhollowevents","N/A","https://www.theknot.com/marketplace/hidden-hollow-reedley-ca-2025970","wedding-reception-venues","Fresno, CA"
"Rose Garden Estate","300+","n/a","N/A","N/A","N/A","+1(661) 477-6140","rosegardenestate@gmail.com","http://www.RoseGardenEstateWeddings.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/rosegardenestate/","http://www.instagram.com/rosegardenestate","http://www.pinterest.com/RGEweddings","https://www.theknot.com/marketplace/rose-garden-estate-tehachapi-ca-848531","wedding-reception-venues","Fresno, CA"
"Redwood Ranch","Up to 250","n/a","N/A","N/A","N/A","+1(310) 274-3382","andrewcartergeorge@gmail.com","http://www.redwoodranchthreerivers.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/redwoodranchthreerivers","http://www.instagram.com/redwoodranchthreerivers","N/A","https://www.theknot.com/marketplace/redwood-ranch-three-rivers-ca-1036744","wedding-reception-venues","Fresno, CA"
"The Pines Resort","Up to 300","n/a","N/A","N/A","N/A","+1(559) 692-8837","weddingsales@basslake.com","http://www.basslake.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/pinesresort/","http://www.instagram.com/pinesresort","http://www.pinterest.com/thepinesresort","https://www.theknot.com/marketplace/the-pines-resort-bass-lake-ca-167791","wedding-reception-venues","Fresno, CA"
"Travioli River Ranch","300+","n/a","N/A","N/A","N/A","+1(559) 269-7669","les@travioliriverranch.com","https://travioliriverranch.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","N/A","N/A","https://www.theknot.com/marketplace/travioli-river-ranch-reedley-ca-2080790","wedding-reception-venues","Fresno, CA"
"Grangeville Oaks","Up to 200","n/a","N/A","N/A","N/A","+1(559) 381-1209","grangevilleoaks@gmail.com","https://www.grangevilleoaks.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/Grangeville-Oaks-111774507958961","http://www.instagram.com/grangevilleoaks","N/A","https://www.theknot.com/marketplace/grangeville-oaks-lemoore-ca-2054628","wedding-reception-venues","Fresno, CA"
"Wolf Lakes Park, Inc.","300+","n/a","N/A","N/A","N/A","+1(559) 292-4063","janice@wolflakespark.com, danc4fun@hotmail.com","http://www.wolflakespark.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","http://www.instagram.com/wolflakespark","N/A","https://www.theknot.com/marketplace/wolf-lakes-park-inc-sanger-ca-2006274","wedding-reception-venues","Fresno, CA"
